 (9.48771715e-01+1.98650882e-01j)  (2.77377844e-01+5.71234286e-01j)  (5.29524863e-01+8.15828860e-01j)  (9.76642013e-01+1.38522699e-01j)  (7.23217487e-01+6.75618291e-01j)  (4.74077374e-01+4.02843177e-01j)  (9.10584331e-01+3.88174176e-01j)  (7.99200118e-01+5.86559951e-01j)  (8.19161594e-01+5.45129478e-01j)  (8.72434378e-01+4.72148359e-01j)
 (9.48769212e-01+1.98652253e-01j)  (2.77378410e-01+5.71239293e-01j)  (5.29511034e-01+8.15823853e-01j)  (9.76641297e-01+1.38519123e-01j)  (7.23218024e-01+6.75617695e-01j)  (4.74068373e-01+4.02840525e-01j)  (9.10585463e-01+3.88171077e-01j)  (7.99198925e-01+5.86561382e-01j)  (8.19161773e-01+5.45128942e-01j)  (8.72432530e-01+4.72151965e-01j)
 (9.48766649e-01+1.98653579e-01j)  (2.77378976e-01+5.71244478e-01j)  (5.29496789e-01+8.15818608e-01j)  (9.76640642e-01+1.38515308e-01j)  (7.23218441e-01+6.75617397e-01j)  (4.74058986e-01+4.02837574e-01j)  (9.10586715e-01+3.88168007e-01j)  (7.99197853e-01+5.86562812e-01j)  (8.19161773e-01+5.45128703e-01j)  (8.72430801e-01+4.72155422e-01j)
 (9.48763788e-01+1.98654950e-01j)  (2.77379632e-01+5.71250141e-01j)  (5.29481113e-01+8.15813124e-01j)  (9.76639867e-01+1.38511091e-01j)  (7.23218858e-01+6.75617099e-01j)  (4.74048793e-01+4.02834535e-01j)  (9.10588086e-01+3.88164580e-01j)  (7.99196541e-01+5.86564481e-01j)  (8.19161773e-01+5.45128226e-01j)  (8.72428656e-01+4.72159624e-01j)
 (9.48760748e-01+1.98656619e-01j)  (2.77380407e-01+5.71256399e-01j)  (5.29464126e-01+8.15806866e-01j)  (9.76639092e-01+1.38506606e-01j)  (7.23219514e-01+6.75616503e-01j)  (4.74037915e-01+4.02831435e-01j)  (9.10589635e-01+3.88160765e-01j)  (7.99195051e-01+5.86566389e-01j)  (8.19161832e-01+5.45127869e-01j)  (8.72426450e-01+4.72163886e-01j)
 (9.48757589e-01+1.98658392e-01j)  (2.77380943e-01+5.71262717e-01j)  (5.29446423e-01+8.15800428e-01j)  (9.76638258e-01+1.38501868e-01j)  (7.23220170e-01+6.75616026e-01j)  (4.74026412e-01+4.02828008e-01j)  (9.10591185e-01+3.88156831e-01j)  (7.99193680e-01+5.86568058e-01j)  (8.19161832e-01+5.45127511e-01j)  (8.72424185e-01+4.72168446e-01j)
 (9.48754489e-01+1.98659956e-01j)  (2.77381659e-01+5.71268916e-01j)  (5.29429317e-01+8.15794230e-01j)  (9.76637423e-01+1.38497427e-01j)  (7.23220885e-01+6.75615430e-01j)  (4.74015504e-01+4.02824670e-01j)  (9.10592675e-01+3.88153046e-01j)  (7.99192250e-01+5.86569905e-01j)  (8.19162071e-01+5.45126915e-01j)  (8.72421980e-01+4.72172886e-01j)
 (9.48751867e-01+1.98661357e-01j)  (2.77382225e-01+5.71274340e-01j)  (5.29414535e-01+8.15788865e-01j)  (9.76636708e-01+1.38493508e-01j)  (7.23221183e-01+6.75615191e-01j)  (4.74005878e-01+4.02821988e-01j)  (9.10593987e-01+3.88149738e-01j)  (7.99191058e-01+5.86571455e-01j)  (8.19162011e-01+5.45126677e-01j)  (8.72419953e-01+4.72176671e-01j)
 (9.48749840e-01+1.98662505e-01j)  (2.77382553e-01+5.71278393e-01j)  (5.29403567e-01+8.15784812e-01j)  (9.76636171e-01+1.38490558e-01j)  (7.23221600e-01+6.75614774e-01j)  (4.73998696e-01+4.02819574e-01j)  (9.10595000e-01+3.88147235e-01j)  (7.99190104e-01+5.86572707e-01j)  (8.19162011e-01+5.45126438e-01j)  (8.72418642e-01+4.72179413e-01j)
 (9.48748708e-01+1.98663071e-01j)  (2.77382940e-01+5.71280718e-01j)  (5.29396892e-01+8.15782368e-01j)  (9.76635873e-01+1.38488829e-01j)  (7.23222017e-01+6.75614476e-01j)  (4.73994434e-01+4.02818352e-01j)  (9.10595536e-01+3.88145983e-01j)  (7.99189568e-01+5.86573362e-01j)  (8.19162190e-01+5.45126081e-01j)  (8.72417808e-01+4.72181082e-01j)
 (9.48748469e-01+1.98663220e-01j)  (2.77382970e-01+5.71281135e-01j)  (5.29395759e-01+8.15782011e-01j)  (9.76635754e-01+1.38488516e-01j)  (7.23222017e-01+6.75614476e-01j)  (4.73993719e-01+4.02818263e-01j)  (9.10595596e-01+3.88145655e-01j)  (7.99189508e-01+5.86573482e-01j)  (8.19162130e-01+5.45126140e-01j)  (8.72417629e-01+4.72181350e-01j)
 (9.48749125e-01+1.98662847e-01j)  (2.77382851e-01+5.71279824e-01j)  (5.29399633e-01+8.15783381e-01j)  (9.76635993e-01+1.38489455e-01j)  (7.23221719e-01+6.75614655e-01j)  (4.73996192e-01+4.02819067e-01j)  (9.10595357e-01+3.88146430e-01j)  (7.99189866e-01+5.86573005e-01j)  (8.19162130e-01+5.45126259e-01j)  (8.72418106e-01+4.72180367e-01j)
 (9.48750675e-01+1.98662013e-01j)  (2.77382553e-01+5.71276963e-01j)  (5.29407918e-01+8.15786302e-01j)  (9.76636350e-01+1.38491705e-01j)  (7.23221600e-01+6.75614774e-01j)  (4.74001378e-01+4.02820498e-01j)  (9.10594583e-01+3.88148308e-01j)  (7.99190462e-01+5.86572170e-01j)  (8.19162130e-01+5.45126259e-01j)  (8.72419178e-01+4.72178310e-01j)
 (9.48752642e-01+1.98660985e-01j)  (2.77381986e-01+5.71272671e-01j)  (5.29419243e-01+8.15790534e-01j)  (9.76636887e-01+1.38494685e-01j)  (7.23221183e-01+6.75615191e-01j)  (4.74008799e-01+4.02822644e-01j)  (9.10593629e-01+3.88150781e-01j)  (7.99191356e-01+5.86571097e-01j)  (8.19162011e-01+5.45126677e-01j)  (8.72420669e-01+4.72175390e-01j)
 (9.48754787e-01+1.98659733e-01j)  (2.77381688e-01+5.71268618e-01j)  (5.29430985e-01+8.15794766e-01j)  (9.76637483e-01+1.38497800e-01j)  (7.23220766e-01+6.75615549e-01j)  (4.74016517e-01+4.02824849e-01j)  (9.10592556e-01+3.88153374e-01j)  (7.99192429e-01+5.86569726e-01j)  (8.19162071e-01+5.45126915e-01j)  (8.72422159e-01+4.72172350e-01j)
 (9.48756516e-01+1.98658884e-01j)  (2.77381152e-01+5.71264744e-01j)  (5.29440701e-01+8.15798402e-01j)  (9.76637959e-01+1.38500467e-01j)  (7.23220468e-01+6.75615788e-01j)  (4.74022806e-01+4.02826935e-01j)  (9.10591662e-01+3.88155609e-01j)  (7.99193203e-01+5.86568773e-01j)  (8.19161952e-01+5.45127153e-01j)  (8.72423410e-01+4.72169936e-01j)
 (9.48757410e-01+1.98658362e-01j)  (2.77381092e-01+5.71263194e-01j)  (5.29445350e-01+8.15800011e-01j)  (9.76638198e-01+1.38501629e-01j)  (7.23220289e-01+6.75615847e-01j)  (4.74025637e-01+4.02827710e-01j)  (9.10591364e-01+3.88156474e-01j)  (7.99193501e-01+5.86568296e-01j)  (8.19161832e-01+5.45127511e-01j)  (8.72424066e-01+4.72168744e-01j)
 (9.48756635e-01+1.98658749e-01j)  (2.77381241e-01+5.71264744e-01j)  (5.29441237e-01+8.15798581e-01j)  (9.76637959e-01+1.38500556e-01j)  (7.23220348e-01+6.75615907e-01j)  (4.74023134e-01+4.02827114e-01j)  (9.10591662e-01+3.88155639e-01j)  (7.99193323e-01+5.86568594e-01j)  (8.19161952e-01+5.45127153e-01j)  (8.72423470e-01+4.72169816e-01j)
 (9.48753655e-01+1.98660478e-01j)  (2.77381778e-01+5.71270823e-01j)  (5.29424548e-01+8.15792441e-01j)  (9.76637185e-01+1.38496086e-01j)  (7.23220944e-01+6.75615370e-01j)  (4.74012226e-01+4.02823657e-01j)  (9.10593033e-01+3.88152033e-01j)  (7.99191892e-01+5.86570442e-01j)  (8.19162071e-01+5.45126796e-01j)  (8.72421324e-01+4.72174078e-01j)
 (9.48747754e-01+1.98663563e-01j)  (2.77383149e-01+5.71282744e-01j)  (5.29391766e-01+8.15780580e-01j)  (9.76635635e-01+1.38487488e-01j)  (7.23222017e-01+6.75614476e-01j)  (4.73991066e-01+4.02817398e-01j)  (9.10595953e-01+3.88144791e-01j)  (7.99189270e-01+5.86573720e-01j)  (8.19162130e-01+5.45126021e-01j)  (8.72417033e-01+4.72182423e-01j)
 (9.48738337e-01+1.98668614e-01j)  (2.77385354e-01+5.71301818e-01j)  (5.29339194e-01+8.15761387e-01j)  (9.76633072e-01+1.38473600e-01j)  (7.23223925e-01+6.75612867e-01j)  (4.73957121e-01+4.02807236e-01j)  (9.10600603e-01+3.88132989e-01j)  (7.99184799e-01+5.86579442e-01j)  (8.19162369e-01+5.45124650e-01j)  (8.72410178e-01+4.72196013e-01j)
 (9.48724866e-01+1.98675841e-01j)  (2.77388185e-01+5.71328938e-01j)  (5.29264152e-01+8.15734029e-01j)  (9.76629496e-01+1.38453797e-01j)  (7.23226488e-01+6.75610721e-01j)  (4.73908663e-01+4.02792841e-01j)  (9.10607219e-01+3.88116270e-01j)  (7.99178720e-01+5.86587250e-01j)  (8.19162667e-01+5.45122743e-01j)  (8.72400463e-01+4.72214997e-01j)
