 (7.02666342e-01+6.57653749e-01j)  (8.70574653e-01+3.52609545e-01j)  (5.84546387e-01+7.21800268e-01j)  (3.88353467e-01+8.43492329e-01j)  (5.56373656e-01+4.72907841e-01j)  (9.27350461e-01+2.56763577e-01j)  (6.35577202e-01+5.90382278e-01j)  (8.14730644e-01+5.60973108e-01j)  (9.72698212e-01+1.97451770e-01j)  (7.96491086e-01+5.91737866e-01j)
 (7.02664852e-01+6.57656670e-01j)  (8.70579302e-01+3.52603555e-01j)  (5.84536135e-01+7.21814275e-01j)  (3.88350189e-01+8.43487561e-01j)  (5.56381583e-01+4.72910404e-01j)  (9.27353203e-01+2.56759882e-01j)  (6.35582566e-01+5.90381682e-01j)  (8.14728081e-01+5.60976624e-01j)  (9.72698450e-01+1.97449937e-01j)  (7.96489000e-01+5.91740906e-01j)
 (7.02663243e-01+6.57659709e-01j)  (8.70584190e-01+3.52597147e-01j)  (5.84525585e-01+7.21828759e-01j)  (3.88346761e-01+8.43482554e-01j)  (5.56389809e-01+4.72912848e-01j)  (9.27356124e-01+2.56756037e-01j)  (6.35588169e-01+5.90381145e-01j)  (8.14725459e-01+5.60980499e-01j)  (9.72698569e-01+1.97447866e-01j)  (7.96486974e-01+5.91743827e-01j)
 (7.02661514e-01+6.57662868e-01j)  (8.70589554e-01+3.52590203e-01j)  (5.84514081e-01+7.21844614e-01j)  (3.88342857e-01+8.43477190e-01j)  (5.56398749e-01+4.72915530e-01j)  (9.27359283e-01+2.56751955e-01j)  (6.35594249e-01+5.90380549e-01j)  (8.14722538e-01+5.60984552e-01j)  (9.72698867e-01+1.97445706e-01j)  (7.96484590e-01+5.91747284e-01j)
 (7.02659488e-01+6.57666624e-01j)  (8.70595455e-01+3.52582484e-01j)  (5.84501565e-01+7.21861899e-01j)  (3.88338864e-01+8.43471169e-01j)  (5.56408346e-01+4.72918481e-01j)  (9.27362680e-01+2.56747395e-01j)  (6.35601044e-01+5.90379894e-01j)  (8.14719439e-01+5.60989022e-01j)  (9.72699106e-01+1.97443277e-01j)  (7.96482027e-01+5.91751039e-01j)
 (7.02657640e-01+6.57670200e-01j)  (8.70601416e-01+3.52574587e-01j)  (5.84488690e-01+7.21879601e-01j)  (3.88334692e-01+8.43465030e-01j)  (5.56418478e-01+4.72921461e-01j)  (9.27366197e-01+2.56742716e-01j)  (6.35607839e-01+5.90379238e-01j)  (8.14716280e-01+5.60993552e-01j)  (9.72699285e-01+1.97440937e-01j)  (7.96479404e-01+5.91754854e-01j)
 (7.02655554e-01+6.57673955e-01j)  (8.70607257e-01+3.52567106e-01j)  (5.84476054e-01+7.21896946e-01j)  (3.88330519e-01+8.43459070e-01j)  (5.56428075e-01+4.72924322e-01j)  (9.27369654e-01+2.56738156e-01j)  (6.35614455e-01+5.90378523e-01j)  (8.14713061e-01+5.60998201e-01j)  (9.72699523e-01+1.97438583e-01j)  (7.96476901e-01+5.91758370e-01j)
 (7.02654004e-01+6.57676995e-01j)  (8.70612323e-01+3.52560431e-01j)  (5.84465146e-01+7.21911848e-01j)  (3.88327122e-01+8.43453884e-01j)  (5.56436539e-01+4.72926736e-01j)  (9.27372694e-01+2.56734163e-01j)  (6.35620117e-01+5.90377986e-01j)  (8.14710319e-01+5.61001956e-01j)  (9.72699761e-01+1.97436467e-01j)  (7.96474695e-01+5.91761589e-01j)
 (7.02652633e-01+6.57679498e-01j)  (8.70616019e-01+3.52555662e-01j)  (5.84456921e-01+7.21923172e-01j)  (3.88324410e-01+8.43450189e-01j)  (5.56442738e-01+4.72928762e-01j)  (9.27374840e-01+2.56731272e-01j)  (6.35624647e-01+5.90377510e-01j)  (8.14708173e-01+5.61005056e-01j)  (9.72699881e-01+1.97434962e-01j)  (7.96472907e-01+5.91764033e-01j)
 (7.02652037e-01+6.57680750e-01j)  (8.70618343e-01+3.52552563e-01j)  (5.84452152e-01+7.21929848e-01j)  (3.88322860e-01+8.43447804e-01j)  (5.56446493e-01+4.72929865e-01j)  (9.27376211e-01+2.56729484e-01j)  (6.35627270e-01+5.90377152e-01j)  (8.14707160e-01+5.61006665e-01j)  (9.72699940e-01+1.97433934e-01j)  (7.96471953e-01+5.91765463e-01j)
 (7.02651739e-01+6.57681108e-01j)  (8.70618761e-01+3.52552027e-01j)  (5.84451258e-01+7.21930981e-01j)  (3.88322324e-01+8.43447387e-01j)  (5.56447208e-01+4.72930193e-01j)  (9.27376390e-01+2.56729156e-01j)  (6.35627806e-01+5.90377271e-01j)  (8.14706802e-01+5.61007142e-01j)  (9.72700000e-01+1.97433770e-01j)  (7.96471894e-01+5.91765523e-01j)
 (7.02652276e-01+6.57680273e-01j)  (8.70617509e-01+3.52553725e-01j)  (5.84454060e-01+7.21927106e-01j)  (3.88323516e-01+8.43448699e-01j)  (5.56445003e-01+4.72929448e-01j)  (9.27375674e-01+2.56730169e-01j)  (6.35626197e-01+5.90377331e-01j)  (8.14707577e-01+5.61006069e-01j)  (9.72699940e-01+1.97434381e-01j)  (7.96472371e-01+5.91764867e-01j)
 (7.02653110e-01+6.57678485e-01j)  (8.70614588e-01+3.52557510e-01j)  (5.84460139e-01+7.21918821e-01j)  (3.88325453e-01+8.43451619e-01j)  (5.56440353e-01+4.72927988e-01j)  (9.27373946e-01+2.56732494e-01j)  (6.35622859e-01+5.90377808e-01j)  (8.14709067e-01+5.61003804e-01j)  (9.72699821e-01+1.97435528e-01j)  (7.96473563e-01+5.91763198e-01j)
 (7.02654421e-01+6.57676160e-01j)  (8.70610774e-01+3.52562428e-01j)  (5.84468305e-01+7.21907437e-01j)  (3.88328135e-01+8.43455493e-01j)  (5.56434155e-01+4.72926021e-01j)  (9.27371740e-01+2.56735474e-01j)  (6.35618687e-01+5.90378106e-01j)  (8.14711094e-01+5.61001003e-01j)  (9.72699642e-01+1.97437167e-01j)  (7.96475351e-01+5.91760635e-01j)
 (7.02655673e-01+6.57673717e-01j)  (8.70606780e-01+3.52567732e-01j)  (5.84477127e-01+7.21895397e-01j)  (3.88330787e-01+8.43459666e-01j)  (5.56427300e-01+4.72924054e-01j)  (9.27369356e-01+2.56738514e-01j)  (6.35613978e-01+5.90378702e-01j)  (8.14713299e-01+5.60997784e-01j)  (9.72699523e-01+1.97438672e-01j)  (7.96477139e-01+5.91758072e-01j)
 (7.02656865e-01+6.57671511e-01j)  (8.70603383e-01+3.52572143e-01j)  (5.84484339e-01+7.21885502e-01j)  (3.88333291e-01+8.43463004e-01j)  (5.56421757e-01+4.72922385e-01j)  (9.27367389e-01+2.56741077e-01j)  (6.35610163e-01+5.90379000e-01j)  (8.14715147e-01+5.60995162e-01j)  (9.72699404e-01+1.97440028e-01j)  (7.96478510e-01+5.91756046e-01j)
 (7.02657402e-01+6.57670557e-01j)  (8.70601833e-01+3.52574110e-01j)  (5.84487736e-01+7.21880853e-01j)  (3.88334304e-01+8.43464732e-01j)  (5.56419075e-01+4.72921669e-01j)  (9.27366436e-01+2.56742388e-01j)  (6.35608256e-01+5.90379238e-01j)  (8.14715981e-01+5.60994029e-01j)  (9.72699344e-01+1.97440669e-01j)  (7.96479285e-01+5.91754913e-01j)
 (7.02656984e-01+6.57671392e-01j)  (8.70603144e-01+3.52572381e-01j)  (5.84484637e-01+7.21885085e-01j)  (3.88333380e-01+8.43463182e-01j)  (5.56421399e-01+4.72922385e-01j)  (9.27367330e-01+2.56741196e-01j)  (6.35609925e-01+5.90379000e-01j)  (8.14715207e-01+5.60995042e-01j)  (9.72699404e-01+1.97440132e-01j)  (7.96478629e-01+5.91755867e-01j)
 (7.02655017e-01+6.57675028e-01j)  (8.70608926e-01+3.52564961e-01j)  (5.84472477e-01+7.21901953e-01j)  (3.88329566e-01+8.43457341e-01j)  (5.56430876e-01+4.72925216e-01j)  (9.27370608e-01+2.56736815e-01j)  (6.35616481e-01+5.90378404e-01j)  (8.14712286e-01+5.60999274e-01j)  (9.72699583e-01+1.97437838e-01j)  (7.96476185e-01+5.91759443e-01j)
 (7.02651441e-01+6.57681823e-01j)  (8.70620072e-01+3.52550328e-01j)  (5.84448338e-01+7.21935034e-01j)  (3.88321489e-01+8.43446136e-01j)  (5.56449413e-01+4.72930670e-01j)  (9.27377224e-01+2.56728053e-01j)  (6.35629117e-01+5.90377152e-01j)  (8.14706147e-01+5.61008036e-01j)  (9.72700000e-01+1.97433352e-01j)  (7.96471298e-01+5.91766417e-01j)
 (7.02645361e-01+6.57693088e-01j)  (8.70637953e-01+3.52526903e-01j)  (5.84409595e-01+7.21988201e-01j)  (3.88309002e-01+8.43427777e-01j)  (5.56479216e-01+4.72939789e-01j)  (9.27387714e-01+2.56714135e-01j)  (6.35649681e-01+5.90375245e-01j)  (8.14696431e-01+5.61021864e-01j)  (9.72700715e-01+1.97426111e-01j)  (7.96463490e-01+5.91777742e-01j)
 (7.02636719e-01+6.57709122e-01j)  (8.70663404e-01+3.52493733e-01j)  (5.84354341e-01+7.22064018e-01j)  (3.88291061e-01+8.43401730e-01j)  (5.56521595e-01+4.72952545e-01j)  (9.27402735e-01+2.56694168e-01j)  (6.35678828e-01+5.90372145e-01j)  (8.14682722e-01+5.61041474e-01j)  (9.72701669e-01+1.97415754e-01j)  (7.96452343e-01+5.91793776e-01j)
 (7.02625453e-01+6.57730162e-01j)  (8.70697200e-01+3.52449477e-01j)  (5.84280968e-01+7.22164571e-01j)  (3.88267338e-01+8.43367398e-01j)  (5.56577563e-01+4.72969443e-01j)  (9.27422523e-01+2.56667763e-01j)  (6.35717571e-01+5.90368330e-01j)  (8.14664543e-01+5.61067462e-01j)  (9.72702980e-01+1.97402164e-01j)  (7.96437860e-01+5.91814697e-01j)
 (7.02611089e-01+6.57756746e-01j)  (8.70739639e-01+3.52393985e-01j)  (5.84188521e-01+7.22290814e-01j)  (3.88237566e-01+8.43324244e-01j)  (5.56647778e-01+4.72990781e-01j)  (9.27447319e-01+2.56634414e-01j)  (6.35766029e-01+5.90363383e-01j)  (8.14641833e-01+5.61099946e-01j)  (9.72704589e-01+1.97385088e-01j)  (7.96419501e-01+5.91841221e-01j)
 (7.02593625e-01+6.57788813e-01j)  (8.70790362e-01+3.52327496e-01j)  (5.84077477e-01+7.22442091e-01j)  (3.88201773e-01+8.43272567e-01j)  (5.56731761e-01+4.73016143e-01j)  (9.27476943e-01+2.56594568e-01j)  (6.35823965e-01+5.90357363e-01j)  (8.14614832e-01+5.61138570e-01j)  (9.72706616e-01+1.97364718e-01j)  (7.96397686e-01+5.91872633e-01j)
 (7.02573001e-01+6.57826304e-01j)  (8.70849133e-01+3.52250099e-01j)  (5.83948076e-01+7.22618043e-01j)  (3.88160408e-01+8.43212724e-01j)  (5.56828558e-01+4.73045617e-01j)  (9.27511156e-01+2.56548136e-01j)  (6.35890961e-01+5.90350449e-01j)  (8.14583659e-01+5.61183155e-01j)  (9.72708821e-01+1.97341010e-01j)  (7.96372414e-01+5.91909111e-01j)
 (7.02549577e-01+6.57868743e-01j)  (8.70915353e-01+3.52162838e-01j)  (5.83801568e-01+7.22816706e-01j)  (3.88113678e-01+8.43145311e-01j)  (5.56937754e-01+4.73078787e-01j)  (9.27549660e-01+2.56495774e-01j)  (6.35966599e-01+5.90342581e-01j)  (8.14548612e-01+5.61233163e-01j)  (9.72711325e-01+1.97314605e-01j)  (7.96344221e-01+5.91949880e-01j)
 (7.02523530e-01+6.57915711e-01j)  (8.70988369e-01+3.52066368e-01j)  (5.83639026e-01+7.23036230e-01j)  (3.88062149e-01+8.43071043e-01j)  (5.57057559e-01+4.73115176e-01j)  (9.27592039e-01+2.56437510e-01j)  (6.36049688e-01+5.90333819e-01j)  (8.14510167e-01+5.61288357e-01j)  (9.72714067e-01+1.97285384e-01j)  (7.96313345e-01+5.91994405e-01j)
 (7.02494383e-01+6.57967567e-01j)  (8.71067703e-01+3.51961434e-01j)  (5.83461404e-01+7.23275304e-01j)  (3.88006270e-01+8.42990279e-01j)  (5.57187438e-01+4.73154873e-01j)  (9.27637875e-01+2.56374240e-01j)  (6.36139810e-01+5.90324163e-01j)  (8.14468741e-01+5.61347604e-01j)  (9.72717047e-01+1.97253942e-01j)  (7.96280146e-01+5.92042565e-01j)
 (7.02462733e-01+6.58023417e-01j)  (8.71152401e-01+3.51848930e-01j)  (5.83269954e-01+7.23531842e-01j)  (3.87946159e-01+8.42904210e-01j)  (5.57325661e-01+4.73197103e-01j)  (9.27686691e-01+2.56306171e-01j)  (6.36236131e-01+5.90313792e-01j)  (8.14424574e-01+5.61410785e-01j)  (9.72720087e-01+1.97220370e-01j)  (7.96244681e-01+5.92093885e-01j)
 (7.02428579e-01+6.58083141e-01j)  (8.71242344e-01+3.51729125e-01j)  (5.83065271e-01+7.23805070e-01j)  (3.87882352e-01+8.42812598e-01j)  (5.57472229e-01+4.73241806e-01j)  (9.27738369e-01+2.56233633e-01j)  (6.36338294e-01+5.90302587e-01j)  (8.14378142e-01+5.61477304e-01j)  (9.72723484e-01+1.97184786e-01j)  (7.96207428e-01+5.92147708e-01j)
 (7.02391803e-01+6.58146918e-01j)  (8.71337295e-01+3.51602286e-01j)  (5.82847595e-01+7.24094450e-01j)  (3.87814999e-01+8.42715979e-01j)  (5.57626128e-01+4.73289281e-01j)  (9.27792728e-01+2.56156623e-01j)  (6.36445701e-01+5.90290546e-01j)  (8.14329326e-01+5.61547160e-01j)  (9.72726822e-01+1.97147310e-01j)  (7.96168387e-01+5.92204213e-01j)
 (7.02352405e-01+6.58214509e-01j)  (8.71437192e-01+3.51468325e-01j)  (5.82617044e-01+7.24399447e-01j)  (3.87744069e-01+8.42614472e-01j)  (5.57787538e-01+4.73338753e-01j)  (9.27849531e-01+2.56075323e-01j)  (6.36558771e-01+5.90277612e-01j)  (8.14278603e-01+5.61619997e-01j)  (9.72730339e-01+1.97108150e-01j)  (7.96127737e-01+5.92263103e-01j)
 (7.02310264e-01+6.58286273e-01j)  (8.71541858e-01+3.51327479e-01j)  (5.82373083e-01+7.24720836e-01j)  (3.87669504e-01+8.42507958e-01j)  (5.57956159e-01+4.73390669e-01j)  (9.27909136e-01+2.55989462e-01j)  (6.36677206e-01+5.90264082e-01j)  (8.14225674e-01+5.61695814e-01j)  (9.72734034e-01+1.97067291e-01j)  (7.96085417e-01+5.92324495e-01j)
 (7.02265143e-01+6.58362150e-01j)  (8.71651292e-01+3.51179928e-01j)  (5.82115889e-01+7.25057960e-01j)  (3.87591392e-01+8.42396677e-01j)  (5.58131635e-01+4.73444760e-01j)  (9.27971005e-01+2.55899221e-01j)  (6.36800706e-01+5.90249538e-01j)  (8.14170837e-01+5.61774492e-01j)  (9.72737789e-01+1.97024629e-01j)  (7.96041608e-01+5.92388034e-01j)
 (7.02217042e-01+6.58442378e-01j)  (8.71765494e-01+3.51025254e-01j)  (5.81845224e-01+7.25411057e-01j)  (3.87509823e-01+8.42280447e-01j)  (5.58314204e-01+4.73501205e-01j)  (9.28035319e-01+2.55804688e-01j)  (6.36929452e-01+5.90234041e-01j)  (8.14114034e-01+5.61856091e-01j)  (9.72741663e-01+1.96980327e-01j)  (7.95996308e-01+5.92453659e-01j)
 (7.02166080e-01+6.58526421e-01j)  (8.71884227e-01+3.50863785e-01j)  (5.81561208e-01+7.25779653e-01j)  (3.87424499e-01+8.42159808e-01j)  (5.58502972e-01+4.73559767e-01j)  (9.28102016e-01+2.55705625e-01j)  (6.37063086e-01+5.90217829e-01j)  (8.14055562e-01+5.61940074e-01j)  (9.72745717e-01+1.96934447e-01j)  (7.95949757e-01+5.92521369e-01j)
 (7.02112317e-01+6.58614457e-01j)  (8.72006953e-01+3.50696325e-01j)  (5.81264853e-01+7.26162434e-01j)  (3.87336463e-01+8.42034817e-01j)  (5.58697760e-01+4.73620206e-01j)  (9.28170621e-01+2.55602598e-01j)  (6.37201130e-01+5.90200722e-01j)  (8.13995600e-01+5.62026262e-01j)  (9.72749770e-01+1.96887195e-01j)  (7.95901954e-01+5.92590868e-01j)
 (7.02055395e-01+6.58706486e-01j)  (8.72133613e-01+3.50522935e-01j)  (5.80956280e-01+7.26558924e-01j)  (3.87245417e-01+8.41905892e-01j)  (5.58897316e-01+4.73682463e-01j)  (9.28241134e-01+2.55495727e-01j)  (6.37343287e-01+5.90182722e-01j)  (8.13934386e-01+5.62114179e-01j)  (9.72753942e-01+1.96838632e-01j)  (7.95853257e-01+5.92661738e-01j)
 (7.01995909e-01+6.58801794e-01j)  (8.72263432e-01+3.50344360e-01j)  (5.80637097e-01+7.26966918e-01j)  (3.87151659e-01+8.41773629e-01j)  (5.59101462e-01+4.73746121e-01j)  (9.28313017e-01+2.55385548e-01j)  (6.37488782e-01+5.90164065e-01j)  (8.13872218e-01+5.62203705e-01j)  (9.72758055e-01+1.96789086e-01j)  (7.95803785e-01+5.92733681e-01j)
 (7.01933980e-01+6.58900261e-01j)  (8.72395933e-01+3.50161582e-01j)  (5.80308318e-01+7.27385163e-01j)  (3.87056142e-01+8.41638386e-01j)  (5.59308648e-01+4.73810941e-01j)  (9.28386211e-01+2.55272120e-01j)  (6.37637019e-01+5.90144634e-01j)  (8.13809454e-01+5.62294006e-01j)  (9.72762287e-01+1.96738705e-01j)  (7.95753896e-01+5.92806399e-01j)
 (7.01869726e-01+6.59001410e-01j)  (8.72530460e-01+3.49975199e-01j)  (5.79971552e-01+7.27811396e-01j)  (3.86958688e-01+8.41501176e-01j)  (5.59518099e-01+4.73876476e-01j)  (9.28460062e-01+2.55156487e-01j)  (6.37787521e-01+5.90124547e-01j)  (8.13746512e-01+5.62384784e-01j)  (9.72766519e-01+1.96687713e-01j)  (7.95703888e-01+5.92879295e-01j)
 (7.01803684e-01+6.59104526e-01j)  (8.72666001e-01+3.49786639e-01j)  (5.79628706e-01+7.28242993e-01j)  (3.86860371e-01+8.41362774e-01j)  (5.59728324e-01+4.73942518e-01j)  (9.28534329e-01+2.55039066e-01j)  (6.37939036e-01+5.90103805e-01j)  (8.13683569e-01+5.62475502e-01j)  (9.72770691e-01+1.96636558e-01j)  (7.95653880e-01+5.92952371e-01j)
 (7.01735914e-01+6.59209311e-01j)  (8.72801960e-01+3.49596828e-01j)  (5.79281986e-01+7.28677392e-01j)  (3.86761367e-01+8.41223776e-01j)  (5.59938014e-01+4.74008560e-01j)  (9.28608477e-01+2.54920572e-01j)  (6.38090551e-01+5.90082765e-01j)  (8.13621104e-01+5.62565565e-01j)  (9.72774804e-01+1.96585491e-01j)  (7.95604467e-01+5.93024552e-01j)
