ID,Vowel,Gender,Roughness,Breathiness,Brightness,Naturalness
1,i,female,-1,-2,-2,-2
1,a,male,-3,-2,-2,-3
1,o,male,-3,-3,-2,-3
1,a,male,-2,-1,-1,-2
1,i,male,-3,-1,-2,-2
1,i,male,-3,-2,-2,-3
1,a,male,-1,-1,-1,-1
1,o,female,-1,-1,-2,-2
1,o,female,0,-1,-1,-1
1,o,male,-2,-1,-1,-1
1,i,female,-1,-2,-1,-1
1,i,female,-1,-2,-1,-1
1,i,female,-2,-1,-2,-1
1,i,female,0,0,-1,0
1,a,male,-3,-1,-3,-3
1,o,female,0,-3,-1,-1
1,o,female,-1,-3,-3,-3
1,a,female,-2,-3,-2,-2
1,o,male,-4,-1,-2,-3
1,a,female,-2,-2,-1,-2
1,a,female,0,-3,-1,-1
1,i,male,-3,-1,-1,-2
1,a,female,-1,-3,-2,-2
1,o,male,-3,-1,-2,-2
1,i,male,-3,-1,-1,-1
1,a,female,-1,-2,-3,-1
1,a,male,-3,-1,-1,-1
1,i,male,-3,-3,-2,-3
1,o,female,-1,-2,-2,-2
1,o,male,-4,-1,-2,-3
2,i,female,3,-3,-2,-3
2,a,male,3,-2,-3,-3
2,o,male,3,-1,-2,-3
2,o,male,2,-2,-3,-4
2,i,male,2,-2,-2,-3
2,a,female,1,-2,-3,-2
2,a,male,3,-2,-2,-2
2,o,female,1,-2,-3,-1
2,i,male,1,-1,-2,-3
2,o,male,1,-1,-3,-1
2,a,female,1,-2,-3,-2
2,o,male,1,-1,-3,-2
2,i,male,1,-2,-2,-3
2,i,female,1,-2,-3,-2
2,o,female,1,-1,-3,-2
2,o,female,1,-1,-3,-2
2,a,female,1,-2,-3,-2
2,i,male,1,-1,-3,-3
2,i,female,1,-1,-2,-2
2,i,male,1,-2,-3,-1
2,i,female,1,-1,-3,-2
2,a,female,1,-2,-3,-3
2,o,male,1,-1,-3,-2
2,i,female,1,-1,-3,-2
2,a,male,2,-1,-3,-2
2,a,male,2,-1,-2,-3
2,a,female,2,-2,-3,-2
2,o,female,0,-1,-3,-2
2,a,male,1,-2,-3,-2
2,o,female,2,-1,-3,-1
3,o,male,-3,2,-2,-2
3,i,female,-2,-1,1,-3
3,a,male,1,4,-3,-4
3,o,male,2,4,-3,-4
3,o,female,2,-2,-3,-2
3,i,male,-2,4,2,-3
3,a,female,-3,1,2,-3
3,o,male,-2,2,-2,-3
3,i,male,-2,1,-2,-1
3,a,male,-2,2,-2,-2
3,i,male,-2,1,-3,-2
3,a,female,-2,1,-3,-3
3,o,male,-2,3,-2,-2
3,a,female,-1,3,-3,-3
3,a,female,-2,1,-1,-3
3,i,female,-2,-1,0,-3
3,i,female,-2,1,0,-2
3,i,female,-2,2,-1,-1
3,o,female,-2,1,-3,-1
3,a,male,-2,2,-1,-3
3,i,female,-2,1,0,-1
3,o,female,-2,0,-3,-2
3,a,male,-2,0,-2,-1
3,o,female,-3,1,2,-2
3,a,male,-1,2,-1,-1
3,i,male,-3,1,-1,-1
3,a,female,-2,-1,-1,-1
3,o,male,-1,1,-1,-1
3,o,female,-2,2,-1,-1
3,i,male,-2,-2,1,-2
4,o,male,-2,-3,3,-4
4,a,female,-3,-3,3,-4
4,a,female,-3,-4,-3,-4
4,o,female,-3,-3,3,-1
4,o,female,-2,-3,3,-3
4,i,female,3,-2,2,-2
4,i,male,-3,-2,-2,-3
4,i,female,-3,-2,-1,-1
4,i,female,-3,-2,-4,-1
4,a,male,-2,-3,2,-1
4,i,male,2,-4,-3,-2
4,a,male,-2,-4,2,-3
4,o,female,-1,-3,-2,-1
4,a,male,-2,-3,2,-3
4,i,female,-2,-3,-3,-2
4,o,female,-2,-4,1,-3
4,o,male,-2,-4,2,-4
4,a,male,-3,-2,3,-1
4,i,male,-2,-3,-1,-3
4,a,female,-3,-4,3,-2
4,i,female,-2,-3,-3,-3
4,o,male,-3,-3,3,-3
4,o,male,-3,-3,1,-2
4,a,male,-3,-3,2,-2
4,o,female,-3,-4,3,-4
4,i,male,-3,-2,1,-3
4,i,male,-3,-4,1,-2
4,a,female,-3,-4,1,-3
4,a,female,-3,-3,-1,-4
4,o,male,-4,-3,-1,-3
5,i,male,-1,-3,-4,-4
5,a,male,2,-2,-4,-4
5,i,male,1,-3,-4,-4
5,a,male,-1,-3,-3,-4
5,o,male,-2,-4,-3,-4
5,a,female,-2,-4,-3,-4
5,o,female,-2,-3,-3,-4
5,i,female,-1,-2,-3,-3
5,a,male,2,3,4,4
5,i,male,-3,-3,-3,-4
5,i,female,-1,-2,-2,-2
5,o,female,-2,-3,-3,-3
5,o,female,-1,-2,-2,-3
5,o,female,-2,-3,-2,-3
5,o,male,-1,-3,-2,-3
5,i,female,-2,-3,-3,-3
5,a,male,-2,-3,-2,-3
5,i,male,-2,-2,-3,-3
5,o,male,-3,-2,-2,-4
5,o,male,-3,-2,-3,-4
5,a,female,-2,-2,-2,-3
5,i,female,-1,-2,-2,-3
5,a,female,-3,-3,-3,-3
5,a,male,-2,-2,-3,-4
5,o,female,-1,-2,-1,-2
5,a,female,-1,-2,-2,-1
5,o,male,-1,-2,-2,-2
5,i,male,-2,-3,-2,-3
5,a,female,-2,-3,-3,-4
5,i,female,-2,-4,-3,-4
6,a,male,2,-2,-3,-3
6,o,female,3,-3,-3,-4
6,a,female,4,-1,-1,-4
6,i,female,3,-2,-3,-3
6,a,male,4,0,-3,-3
6,a,female,3,-1,-4,-3
6,i,male,3,0,-3,-3
6,a,male,2,0,-2,-4
6,o,male,4,-1,-2,-4
6,a,female,3,-1,-3,-3
6,i,male,3,-2,-1,-4
6,i,female,2,0,-1,-2
6,o,female,0,-2,-3,-1
6,i,male,4,-1,-2,-4
6,o,female,1,-2,-3,-2
6,a,female,3,-3,-2,-3
6,i,male,3,-2,-3,-3
6,o,female,3,-2,-2,-3
6,o,male,2,-2,-2,-2
6,i,female,3,-2,0,-3
6,a,female,3,-2,-2,-2
6,i,female,4,-2,-1,-4
6,o,female,2,-1,-2,-2
6,o,male,3,-2,-2,-3
6,o,male,4,-2,-1,-4
6,o,male,4,0,-1,-4
6,a,male,3,-1,-3,-3
6,i,male,2,0,-2,-2
6,a,male,0,0,-2,-3
6,i,female,2,-1,-3,-3
7,a,male,2,0,-2,-1
7,i,female,-2,-1,-3,-1
7,i,male,-3,-2,-3,-2
7,a,male,-1,0,-3,-2
7,a,female,0,0,0,-1
7,i,female,-1,-2,-3,-3
7,i,female,0,-2,-1,-2
7,i,female,2,0,-2,-4
7,a,female,-2,-2,-2,-3
7,a,male,-1,-2,0,-2
7,o,female,-2,-1,-2,-1
7,a,male,-2,-1,-1,-1
7,a,female,-2,-2,-2,-2
7,o,male,-2,-2,-4,-4
7,i,male,-1,-2,-3,-4
7,o,female,0,0,-1,-3
7,a,female,1,-1,-2,-1
7,a,male,3,-2,-1,-3
7,i,female,0,1,0,-1
7,o,male,2,-2,-2,-4
7,i,male,1,-1,-2,-2
7,o,male,0,-2,-2,-2
7,o,female,2,-2,-1,-1
7,i,male,2,-2,-1,-2
7,a,female,-1,-1,-2,-2
7,o,male,-1,-2,-3,-3
7,o,female,-1,-2,-1,-1
7,o,female,-1,-1,-2,-3
7,i,male,3,-1,-2,-3
7,o,male,-1,-1,-3,-2
8,o,male,2,0,-2,-1
8,o,male,1,-2,-2,-4
8,o,female,0,-3,2,0
8,o,female,2,2,0,1
8,i,male,2,-1,-3,-3
8,a,female,1,-2,-2,-1
8,i,male,2,-1,-2,-2
8,o,female,2,1,-1,-2
8,o,male,3,2,-2,-3
8,i,female,3,-1,0,-4
8,o,male,4,0,-3,-4
8,a,female,1,-1,-2,-1
8,i,male,0,-1,-1,-2
8,i,female,1,-2,-1,-2
8,a,female,0,1,-2,-3
8,i,male,0,1,-1,-2
8,a,male,1,0,-1,-2
8,a,male,1,0,-1,-2
8,i,female,1,0,0,-1
8,i,female,1,1,0,-1
8,i,female,0,1,-1,-4
8,o,female,1,1,-1,-3
8,o,female,0,-2,-2,-2
8,i,male,0,0,-2,-3
8,o,male,2,1,-1,-3
8,a,female,1,-1,0,-3
8,a,male,-1,1,-1,-2
8,a,male,2,0,-1,-3
8,a,male,1,1,-1,0
8,a,female,0,-2,-2,-1
9,i,male,2,-1,-1,-3
9,i,female,0,-2,-2,-3
9,i,male,0,-2,1,-2
9,i,female,0,-2,0,-2
9,a,male,-1,-1,-3,-2
9,a,male,2,0,-2,-4
9,i,female,1,1,0,-1
9,a,male,-1,-2,-2,-4
9,a,female,-1,-1,0,-4
9,o,female,-1,-1,-2,-4
9,a,female,0,-1,0,-4
9,o,female,0,-1,-1,-2
9,a,female,-1,-1,-2,-4
9,i,male,0,-2,0,-4
9,a,male,2,-1,1,-4
9,i,female,0,-2,-2,-3
9,o,male,-3,-2,-3,-4
9,o,female,-2,-1,3,2
9,o,female,-1,-1,4,-2
9,a,male,0,1,-1,-4
9,o,male,0,-1,-3,-4
9,i,female,0,-1,-1,-1
9,a,female,-1,-2,-2,-4
9,a,female,0,-2,0,-2
9,o,female,0,0,-2,-3
9,o,male,2,-1,0,-4
9,i,male,-3,-2,-2,-4
9,o,male,0,-2,-1,-4
9,i,male,-2,-1,0,-4
9,o,male,-2,-2,-3,-4
10,a,male,-3,-1,-2,-3
10,i,female,3,-1,-2,-2
10,o,female,-2,-2,-2,-2
10,a,male,3,-2,-3,-3
10,a,male,2,-2,-2,-2
10,a,male,-2,4,3,3
10,i,male,-2,-1,-3,-2
10,a,female,2,-2,-3,0
10,i,male,-1,-1,-3,-3
10,o,male,-1,-3,-3,-3
10,a,female,-1,-3,-2,-3
10,o,female,-1,-3,-3,-2
10,a,female,-1,-3,-3,-3
10,a,male,1,-2,-2,-2
10,o,female,-1,-1,-3,-3
10,o,female,-1,-1,-3,-3
10,i,female,0,-1,-2,-3
10,a,female,1,-3,-2,-3
10,i,female,0,-3,-3,-3
10,i,female,0,-2,-2,-3
10,o,female,0,-1,-2,-2
10,i,male,2,-1,-1,-1
10,o,male,2,-2,2,-1
10,o,male,-1,-1,-2,-2
10,i,male,-1,-3,-2,-3
10,i,male,0,-1,-2,-2
10,o,male,-3,-3,-2,-3
10,o,male,-1,-2,-2,-2
10,i,female,0,-1,-2,-3
10,a,female,-1,-1,-3,-3
11,a,male,0,0,-2,-4
11,o,male,-1,-1,-3,-4
11,i,male,-1,-1,-3,-3
11,a,female,0,-2,-3,-3
11,o,female,0,-2,-2,-2
11,i,male,-3,-2,-4,-3
11,o,female,-1,-3,-3,-4
11,a,female,1,-2,-3,-3
11,a,male,0,-2,-1,-3
11,i,female,0,-1,-3,-2
11,i,female,-1,-1,-1,-2
11,o,male,0,-1,-2,-3
11,i,female,0,-1,-3,-4
11,o,female,-1,-1,-2,-4
11,a,female,-2,-2,-3,-4
11,o,male,-1,-2,-1,-4
11,a,male,1,-1,0,-4
11,i,male,1,-2,-2,-4
11,a,male,-1,-2,-2,-4
11,i,male,-1,-1,-2,-3
11,i,male,1,-2,-3,-3
11,a,male,-1,-4,-3,-4
11,o,female,0,-3,-3,-3
11,o,male,0,0,-4,-4
11,i,female,-1,-1,-2,-4
11,a,female,0,-2,-3,-3
11,a,female,0,-2,-3,-4
11,i,female,0,-3,-3,-4
11,o,male,-4,-3,-3,-4
11,o,female,0,-4,-3,-4
12,a,female,0,-4,-3,-3
12,o,female,-4,-2,-4,-3
12,o,male,0,-4,-4,-4
12,i,female,3,0,-3,-3
12,a,female,0,-4,-4,-4
12,o,male,0,-4,-4,-4
12,a,female,1,-3,-3,-3
12,o,male,-1,-4,-4,-4
12,a,female,0,-4,-4,-4
12,i,male,0,-3,-3,-2
12,a,male,0,-3,1,-4
12,o,female,-1,-3,-1,-3
12,o,female,0,-4,-2,-2
12,a,male,0,-3,-3,-3
12,a,male,0,-3,-3,-3
12,o,male,0,-2,-2,-2
12,o,female,-4,-4,-4,-3
12,i,male,-3,-2,-4,-4
12,i,female,-2,-4,-3,-4
12,i,female,0,-3,-3,-3
12,a,male,0,-4,-3,-4
12,a,female,0,-3,-4,-2
12,o,male,0,-4,-3,-4
12,i,female,0,-4,1,-4
12,i,female,0,-2,-3,-4
12,o,female,0,-2,-2,-3
12,i,male,0,-2,-3,-3
12,i,male,0,-3,-3,-4
12,a,male,0,-2,-4,-3
12,i,male,0,-3,-3,-4
13,i,male,-1,-1,-2,-4
13,a,male,-1,-2,-3,-4
13,i,female,1,-1,-3,-2
13,a,female,0,-4,-4,-4
13,i,male,-3,-3,-3,-4
13,o,male,-1,-1,-3,-4
13,a,female,2,-3,-3,-2
13,a,male,2,2,-2,-3
13,a,male,-1,-2,-3,-3
13,o,female,0,-2,-3,-1
13,i,female,1,-2,-2,-2
13,i,male,1,-2,-2,-2
13,o,male,2,-2,-3,-4
13,o,female,1,-3,-2,-2
13,a,male,-2,-2,-3,-4
13,i,female,0,-1,-2,-1
13,a,female,-2,-3,-2,-4
13,a,female,0,-2,-3,-3
13,i,male,-1,-3,-3,-2
13,o,female,1,-3,-3,-4
13,i,female,1,-2,-3,-1
13,i,female,-1,-2,-3,-1
13,o,male,1,-4,-3,-4
13,i,male,1,-2,-3,-2
13,o,male,0,-3,-3,-1
13,a,male,1,-2,-3,-2
13,o,male,-2,-3,-3,-3
13,a,female,-2,-4,-3,-2
13,o,female,-1,-2,-3,-1
13,o,female,0,-3,-3,-1
14,i,male,0,-3,-1,-4
14,i,male,0,-2,-1,-4
14,o,male,0,-3,-1,-3
14,i,male,1,-2,-1,-4
14,o,female,1,-1,-1,-4
14,a,male,1,-1,-1,-3
14,a,female,0,-1,-1,-4
14,o,female,0,-2,-1,-2
14,a,female,1,-2,-2,-3
14,i,female,1,-1,0,-2
14,o,female,0,-1,-1,-2
14,o,female,0,-2,-2,-4
14,o,male,1,-1,0,-4
14,a,male,0,-2,0,-3
14,i,female,1,-2,0,-3
14,a,male,1,-1,-2,-4
14,o,female,0,-3,-2,-4
14,i,male,0,-1,-1,-3
14,a,female,1,-1,-1,-2
14,a,female,1,-3,-2,-4
14,a,male,0,-1,-1,-3
14,a,female,1,-1,-1,-2
14,i,female,0,-1,0,-2
14,i,female,1,-1,-1,-4
14,i,male,1,-1,0,-3
14,a,male,0,-1,-1,-3
14,i,female,0,-1,-2,-4
14,o,male,2,-1,0,-4
14,o,male,-2,-1,-1,-3
14,o,male,0,-2,-2,-4
15,a,male,-2,-2,3,-1
15,a,male,-2,-1,-1,-4
15,i,female,-2,-3,-1,-4
15,i,male,-1,0,1,-4
15,a,male,-2,-2,0,-4
15,i,male,-2,-1,0,-3
15,o,male,0,-2,-2,-4
15,o,female,0,-3,0,-3
15,a,male,-2,-2,0,-3
15,i,female,-2,-1,-1,-1
15,o,male,-2,-2,-2,-4
15,o,male,-1,-1,0,-4
15,i,female,0,0,0,0
15,a,female,-2,-1,-1,-3
15,a,female,-1,-2,0,-3
15,i,female,-1,0,0,-1
15,i,male,-1,0,-1,-2
15,o,female,0,-3,0,-2
15,i,female,0,-2,0,-2
