ID,Gender,Vowel,Quality,Rating
8,female,i,Brightness,0
8,female,i,Brightness,-1
8,female,o,Brightness,-1
8,female,o,Brightness,-2
8,male,i,Brightness,-2
8,male,o,Brightness,-1
8,female,a,Brightness,0
8,male,a,Brightness,-1
8,male,a,Brightness,-1
8,male,a,Brightness,-1
8,female,a,Brightness,-2
9,male,i,Brightness,-1
9,female,i,Brightness,-2
9,male,i,Brightness,1
9,female,i,Brightness,0
9,male,a,Brightness,-3
9,male,a,Brightness,-2
9,female,i,Brightness,0
9,male,a,Brightness,-2
9,female,a,Brightness,0
9,female,o,Brightness,-2
9,female,a,Brightness,0
9,female,o,Brightness,-1
9,female,a,Brightness,-2
9,male,i,Brightness,0
9,male,a,Brightness,1
9,female,i,Brightness,-2
9,male,o,Brightness,-3
9,female,o,Brightness,3
9,female,o,Brightness,4
9,male,a,Brightness,-1
9,male,o,Brightness,-3
9,female,i,Brightness,-1
9,female,a,Brightness,-2
9,female,a,Brightness,0
9,female,o,Brightness,-2
9,male,o,Brightness,0
9,male,i,Brightness,-2
9,male,o,Brightness,-1
9,male,i,Brightness,0
9,male,o,Brightness,-3
10,male,a,Brightness,-2
10,female,i,Brightness,-2
10,female,o,Brightness,-2
10,male,a,Brightness,-3
10,male,a,Brightness,-2
10,male,a,Brightness,3
10,male,i,Brightness,-3
10,female,a,Brightness,-3
10,male,i,Brightness,-3
10,male,o,Brightness,-3
10,female,a,Brightness,-2
10,female,o,Brightness,-3
10,female,a,Brightness,-3
10,male,a,Brightness,-2
10,female,o,Brightness,-3
10,female,o,Brightness,-3
10,female,i,Brightness,-2
10,female,a,Brightness,-2
10,female,i,Brightness,-3
10,female,i,Brightness,-2
10,female,o,Brightness,-2
10,male,i,Brightness,-1
10,male,o,Brightness,2
10,male,o,Brightness,-2
10,male,i,Brightness,-2
10,male,i,Brightness,-2
10,male,o,Brightness,-2
10,male,o,Brightness,-2
10,female,i,Brightness,-2
10,female,a,Brightness,-3
11,male,a,Brightness,-2
11,male,o,Brightness,-3
11,male,i,Brightness,-3
11,female,a,Brightness,-3
11,female,o,Brightness,-2
11,male,i,Brightness,-4
11,female,o,Brightness,-3
11,female,a,Brightness,-3
11,male,a,Brightness,-1
11,female,i,Brightness,-3
11,female,i,Brightness,-1
11,male,o,Brightness,-2
11,female,i,Brightness,-3
11,female,o,Brightness,-2
11,female,a,Brightness,-3
11,male,o,Brightness,-1
11,male,a,Brightness,0
11,male,i,Brightness,-2
11,male,a,Brightness,-2
11,male,i,Brightness,-2
11,male,i,Brightness,-3
11,male,a,Brightness,-3
11,female,o,Brightness,-3
11,male,o,Brightness,-4
11,female,i,Brightness,-2
11,female,a,Brightness,-3
11,female,a,Brightness,-3
11,female,i,Brightness,-3
11,male,o,Brightness,-3
11,female,o,Brightness,-3
12,female,a,Brightness,-3
12,female,o,Brightness,-4
12,male,o,Brightness,-4
12,female,i,Brightness,-3
12,female,a,Brightness,-4
12,male,o,Brightness,-4
12,female,a,Brightness,-3
12,male,o,Brightness,-4
12,female,a,Brightness,-4
12,male,i,Brightness,-3
12,male,a,Brightness,1
12,female,o,Brightness,-1
12,female,o,Brightness,-2
12,male,a,Brightness,-3
12,male,a,Brightness,-3
12,male,o,Brightness,-2
12,female,o,Brightness,-4
12,male,i,Brightness,-4
12,female,i,Brightness,-3
12,female,i,Brightness,-3
12,male,a,Brightness,-3
12,female,a,Brightness,-4
12,male,o,Brightness,-3
12,female,i,Brightness,1
